re;area
локтевск[и|о][й|г|м][о|у]?;Локтевский р-н
змеиногорск[и|о][й|г|м][о|у]?;Змеиногорский р-н
каменск[и|о][й|г|м][о|у]?;Каменский р-н
завитинск[и|о][й|г|м][о|у]?;Завитинский р-н
сковородинск[и|о][й|г|м][о|у]?;Сковородинский р-н
вельск[и|о][й|г|м][о|у]?;Вельский р-н
каргопольск[и|о][й|г|м][о|у]?;Каргопольский р-н
котласск[и|о][й|г|м][о|у]?;Котласский р-н
мезенск[и|о][й|г|м][о|у]?;Мезенский р-н
няндомск[и|о][й|г|м][о|у]?;Няндомский р-н
онежск[и|о][й|г|м][о|у]?;Онежский р-н
шенкурск[и|о][й|г|м][о|у]?;Шенкурский р-н
ахтубинск[и|о][й|г|м][о|у]?;Ахтубинский р-н
камызякск[и|о][й|г|м][о|у]?;Камызякский р-н
наримановск[и|о][й|г|м][о|у]?;Наримановский р-н
харабалинск[и|о][й|г|м][о|у]?;Харабалинский р-н
баймакск[и|о][й|г|м][о|у]?;Баймакский р-н
белебеевск[и|о][й|г|м][о|у]?;Белебеевский р-н
белорецк[и|о][й|г|м][о|у]?;Белорецкий р-н
бирск[и|о][й|г|м][о|у]?;Бирский р-н
благовещенск[и|о][й|г|м][о|у]?;Благовещенский р-н
давлекановск[и|о][й|г|м][о|у]?;Давлекановский р-н
дюртюлинск[и|о][й|г|м][о|у]?;Дюртюлинский р-н
ишимбайск[и|о][й|г|м][о|у]?;Ишимбайский р-н
мелеузовск[и|о][й|г|м][о|у]?;Мелеузовский р-н
туймазинск[и|о][й|г|м][о|у]?;Туймазинский р-н
учалинск[и|о][й|г|м][о|у]?;Учалинский р-н
янаульск[и|о][й|г|м][о|у]?;Янаульский р-н
алексеевск[и|о][й|г|м][о|у]?;Алексеевский р-н
красногвардейск[и|о][й|г|м][о|у]?;Красногвардейский р-н
валуйск[и|о][й|г|м][о|у]?;Валуйский р-н
грайворонск[и|о][й|г|м][о|у]?;Грайворонский р-н
корочанск[и|о][й|г|м][о|у]?;Корочанский р-н
новооскольск[и|о][й|г|м][о|у]?;Новооскольский р-н
яковлевск[и|о][й|г|м][о|у]?;Яковлевский р-н
дятьковск[и|о][й|г|м][о|у]?;Дятьковский р-н
жуковск[и|о][й|г|м][о|у]?;Жуковский р-н
злынковск[и|о][й|г|м][о|у]?;Злынковский р-н
карачевск[и|о][й|г|м][о|у]?;Карачевский р-н
мглинск[и|о][й|г|м][о|у]?;Мглинский р-н
почепск[и|о][й|г|м][о|у]?;Почепский р-н
севск[и|о][й|г|м][о|у]?;Севский р-н
суражск[и|о][й|г|м][о|у]?;Суражский р-н
трубчевск[и|о][й|г|м][о|у]?;Трубчевский р-н
унечск[и|о][й|г|м][о|у]?;Унечский р-н
кабанск[и|о][й|г|м][о|у]?;Кабанский р-н
селенгинск[и|о][й|г|м][о|у]?;Селенгинский р-н
закаменск[и|о][й|г|м][о|у]?;Закаменский р-н
кяхтинск[и|о][й|г|м][о|у]?;Кяхтинский р-н
александровск[и|о][й|г|м][о|у]?;Александровский р-н
вязниковск[и|о][й|г|м][о|у]?;Вязниковский р-н
гороховецк[и|о][й|г|м][о|у]?;Гороховецкий р-н
камешковск[и|о][й|г|м][о|у]?;Камешковский р-н
киржачск[и|о][й|г|м][о|у]?;Киржачский р-н
кольчугинск[и|о][й|г|м][о|у]?;Кольчугинский р-н
петушинск[и|о][й|г|м][о|у]?;Петушинский р-н
гусь-хрустальн[ы|о][й|г|м][о|у]?;Гусь-Хрустальный р-н
собинск[и|о][й|г|м][о|у]?;Собинский р-н
меленковск[и|о][й|г|м][о|у]?;Меленковский р-н
судогодск[и|о][й|г|м][о|у]?;Судогодский р-н
суздальск[и|о][й|г|м][о|у]?;Суздальский р-н
юрьев-польск[и|о][й|г|м][о|у]?;Юрьев-Польский р-н
дубовск[и|о][й|г|м][о|у]?;Дубовский р-н
жирновск[и|о][й|г|м][о|у]?;Жирновский р-н
калачевск[и|о][й|г|м][о|у]?;Калачевский р-н
котельниковск[и|о][й|г|м][о|у]?;Котельниковский р-н
котовск[и|о][й|г|м][о|у]?;Котовский р-н
среднеахтубинск[и|о][й|г|м][о|у]?;Среднеахтубинский р-н
ленинск[и|о][й|г|м][о|у]?;Ленинский р-н
николаевск[и|о][й|г|м][о|у]?;Николаевский р-н
новоаннинск[и|о][й|г|м][о|у]?;Новоаннинский р-н
палласовск[и|о][й|г|м][о|у]?;Палласовский р-н
камышинск[и|о][й|г|м][о|у]?;Камышинский р-н
серафимовичск[и|о][й|г|м][о|у]?;Серафимовичский р-н
суровикинск[и|о][й|г|м][о|у]?;Суровикинский р-н
бабаевск[и|о][й|г|м][о|у]?;Бабаевский р-н
белозерск[и|о][й|г|м][о|у]?;Белозерский р-н
великоустюгск[и|о][й|г|м][о|у]?;Великоустюгский р-н
вытегорск[и|о][й|г|м][о|у]?;Вытегорский р-н
грязовецк[и|о][й|г|м][о|у]?;Грязовецкий р-н
сокольск[и|о][й|г|м][о|у]?;Сокольский р-н
кирилловск[и|о][й|г|м][о|у]?;Кирилловский р-н
никольск[и|о][й|г|м][о|у]?;Никольский р-н
тотемск[и|о][й|г|м][о|у]?;Тотемский р-н
устюженск[и|о][й|г|м][о|у]?;Устюженский р-н
харовск[и|о][й|г|м][о|у]?;Харовский р-н
бобровск[и|о][й|г|м][о|у]?;Бобровский р-н
богучарск[и|о][й|г|м][о|у]?;Богучарский р-н
борисоглебск[и|о][й|г|м][о|у]?;Борисоглебский р-н
бутурлиновск[и|о][й|г|м][о|у]?;Бутурлиновский р-н
калачеевск[и|о][й|г|м][о|у]?;Калачеевский р-н
лискинск[и|о][й|г|м][о|у]?;Лискинский р-н
новохоперск[и|о][й|г|м][о|у]?;Новохоперский р-н
острогожск[и|о][й|г|м][о|у]?;Острогожский р-н
павловск[и|о][й|г|м][о|у]?;Павловский р-н
поворинск[и|о][й|г|м][о|у]?;Поворинский р-н
россошанск[и|о][й|г|м][о|у]?;Россошанский р-н
семилукск[и|о][й|г|м][о|у]?;Семилукский р-н
эртильск[и|о][й|г|м][о|у]?;Эртильский р-н
облученск[и|о][й|г|м][о|у]?;Облученский р-н
балейск[и|о][й|г|м][о|у]?;Балейский р-н
борзинск[и|о][й|г|м][о|у]?;Борзинский р-н
краснокаменск[и|о][й|г|м][о|у]?;Краснокаменский р-н
могочинск[и|о][й|г|м][о|у]?;Могочинский р-н
нерчинск[и|о][й|г|м][о|у]?;Нерчинский р-н
петровск-забайкальск[и|о][й|г|м][о|у]?;Петровск-Забайкальский р-н
сретенск[и|о][й|г|м][о|у]?;Сретенский р-н
хилокск[и|о][й|г|м][о|у]?;Хилокский р-н
шилкинск[и|о][й|г|м][о|у]?;Шилкинский р-н
вичугск[и|о][й|г|м][о|у]?;Вичугский р-н
гаврилово-посадск[и|о][й|г|м][о|у]?;Гаврилово-Посадский р-н
заволжск[и|о][й|г|м][о|у]?;Заволжский р-н
комсомольск[и|о][й|г|м][о|у]?;Комсомольский р-н
ивановск[и|о][й|г|м][о|у]?;Ивановский р-н
кинешемск[и|о][й|г|м][о|у]?;Кинешемский р-н
приволжск[и|о][й|г|м][о|у]?;Приволжский р-н
пучежск[и|о][й|г|м][о|у]?;Пучежский р-н
родниковск[и|о][й|г|м][о|у]?;Родниковский р-н
тейковск[и|о][й|г|м][о|у]?;Тейковский р-н
фурмановск[и|о][й|г|м][о|у]?;Фурмановский р-н
шуйск[и|о][й|г|м][о|у]?;Шуйский р-н
южск[и|о][й|г|м][о|у]?;Южский р-н
юрьевецк[и|о][й|г|м][о|у]?;Юрьевецкий р-н
нижнеудинск[и|о][й|г|м][о|у]?;Нижнеудинский р-н
слюдянск[и|о][й|г|м][о|у]?;Слюдянский р-н
тайшетск[и|о][й|г|м][о|у]?;Тайшетский р-н
братск[и|о][й|г|м][о|у]?;Братский р-н
нижнеилимск[и|о][й|г|м][о|у]?;Нижнеилимский р-н
киренск[и|о][й|г|м][о|у]?;Киренский р-н
майск[и|о][й|г|м][о|у]?;Майский р-н
урванск[и|о][й|г|м][о|у]?;Урванский р-н
терск[и|о][й|г|м][о|у]?;Терский р-н
эльбрусск[и|о][й|г|м][о|у]?;Эльбрусский р-н
чегемск[и|о][й|г|м][о|у]?;Чегемский р-н
багратионовск[и|о][й|г|м][о|у]?;Багратионовский р-н
балтийск[и|о][й|г|м][о|у]?;Балтийский р-н
гвардейск[и|о][й|г|м][о|у]?;Гвардейский р-н
гурьевск[и|о][й|г|м][о|у]?;Гурьевский р-н
гусевск[и|о][й|г|м][о|у]?;Гусевский р-н
зеленоградск[и|о][й|г|м][о|у]?;Зеленоградский р-н
краснознаменск[и|о][й|г|м][о|у]?;Краснознаменский р-н
неманск[и|о][й|г|м][о|у]?;Неманский р-н
нестеровск[и|о][й|г|м][о|у]?;Нестеровский р-н
озерск[и|о][й|г|м][о|у]?;Озерский р-н
полесск[и|о][й|г|м][о|у]?;Полесский р-н
правдинск[и|о][й|г|м][о|у]?;Правдинский р-н
светлогорск[и|о][й|г|м][о|у]?;Светлогорский р-н
славск[и|о][й|г|м][о|у]?;Славский р-н
черняховск[и|о][й|г|м][о|у]?;Черняховский р-н
городовиковск[и|о][й|г|м][о|у]?;Городовиковский р-н
лаганск[и|о][й|г|м][о|у]?;Лаганский р-н
боровск[и|о][й|г|м][о|у]?;Боровский р-н
жиздринск[и|о][й|г|м][о|у]?;Жиздринский р-н
кировск[и|о][й|г|м][о|у]?;Кировский р-н
козельск[и|о][й|г|м][о|у]?;Козельский р-н
дзержинск[и|о][й|г|м][о|у]?;Дзержинский р-н
людиновск[и|о][й|г|м][о|у]?;Людиновский р-н
малоярославецк[и|о][й|г|м][о|у]?;Малоярославецкий р-н
медынск[и|о][й|г|м][о|у]?;Медынский р-н
мещовск[и|о][й|г|м][о|у]?;Мещовский р-н
мосальск[и|о][й|г|м][о|у]?;Мосальский р-н
спас-деменск[и|о][й|г|м][о|у]?;Спас-Деменский р-н
сухиничск[и|о][й|г|м][о|у]?;Сухиничский р-н
тарусск[и|о][й|г|м][о|у]?;Тарусский р-н
юхновск[и|о][й|г|м][о|у]?;Юхновский р-н
елизовск[и|о][й|г|м][о|у]?;Елизовский р-н
усть-джегутинск[и|о][й|г|м][о|у]?;Усть-Джегутинский р-н
беломорск[и|о][й|г|м][о|у]?;Беломорский р-н
кемск[и|о][й|г|м][о|у]?;Кемский р-н
кондопожск[и|о][й|г|м][о|у]?;Кондопожский р-н
лахденпохск[и|о][й|г|м][о|у]?;Лахденпохский р-н
медвежьегорск[и|о][й|г|м][о|у]?;Медвежьегорский р-н
олонецк[и|о][й|г|м][о|у]?;Олонецкий р-н
питкярантск[и|о][й|г|м][о|у]?;Питкярантский р-н
пудожск[и|о][й|г|м][о|у]?;Пудожский р-н
сегежск[и|о][й|г|м][о|у]?;Сегежский р-н
суоярвск[и|о][й|г|м][о|у]?;Суоярвский р-н
мариинск[и|о][й|г|м][о|у]?;Мариинский р-н
таштагольск[и|о][й|г|м][о|у]?;Таштагольский р-н
топкинск[и|о][й|г|м][о|у]?;Топкинский р-н
белохолуницк[и|о][й|г|м][о|у]?;Белохолуницкий р-н
вятскополянск[и|о][й|г|м][о|у]?;Вятскополянский р-н
зуевск[и|о][й|г|м][о|у]?;Зуевский р-н
верхнекамск[и|о][й|г|м][о|у]?;Верхнекамский р-н
котельничск[и|о][й|г|м][о|у]?;Котельничский р-н
лузск[и|о][й|г|м][о|у]?;Лузский р-н
малмыжск[и|о][й|г|м][о|у]?;Малмыжский р-н
мурашинск[и|о][й|г|м][о|у]?;Мурашинский р-н
нолинск[и|о][й|г|м][о|у]?;Нолинский р-н
омутнинск[и|о][й|г|м][о|у]?;Омутнинский р-н
орловск[и|о][й|г|м][о|у]?;Орловский р-н
слободско[й|г|м][о|у]?;Слободской р-н
советск[и|о][й|г|м][о|у]?;Советский р-н
уржумск[и|о][й|г|м][о|у]?;Уржумский р-н
яранск[и|о][й|г|м][о|у]?;Яранский р-н
княжпогостск[и|о][й|г|м][о|у]?;Княжпогостский р-н
усть-вымск[и|о][й|г|м][о|у]?;Усть-Вымский р-н
буйск[и|о][й|г|м][о|у]?;Буйский р-н
галичск[и|о][й|г|м][о|у]?;Галичский р-н
кологривск[и|о][й|г|м][о|у]?;Кологривский р-н
макарьевск[и|о][й|г|м][о|у]?;Макарьевский р-н
мантуровск[и|о][й|г|м][о|у]?;Мантуровский р-н
нерехтск[и|о][й|г|м][о|у]?;Нерехтский р-н
нейск[и|о][й|г|м][о|у]?;Нейский р-н
солигаличск[и|о][й|г|м][о|у]?;Солигаличский р-н
чухломск[и|о][й|г|м][о|у]?;Чухломский р-н
шарьинск[и|о][й|г|м][о|у]?;Шарьинский р-н
абинск[и|о][й|г|м][о|у]?;Абинский р-н
анапск[и|о][й|г|м][о|у]?;Анапский р-н
апшеронск[и|о][й|г|м][о|у]?;Апшеронский р-н
белореченск[и|о][й|г|м][о|у]?;Белореченский р-н
