re;city;geo_lat;geo_lon
адыгейск[а|у|е]?;Адыгейск;44.878414;39.190289
майкоп[а|у|е]?;Майкоп;44.6098268;40.1006606
горно-алтайск[а|у|е]?;Горно-Алтайск;51.9581028;85.9603235
алейск[а|у|е]?;Алейск;52.4922513;82.7793606
барнаул[а|у|е]?;Барнаул;53.3479968;83.7798064
белокурих[а|е|у];Белокуриха;51.996152;84.9839604
бийск[а|у|е]?;Бийск;52.5393864;85.2138453
горняк[а|у|е]?;Горняк;50.9979622;81.4643358
заринск[а|у|е]?;Заринск;53.7063476;84.9315081
змеиногорск[а|у|е]?;Змеиногорск;51.1581094;82.1872547
камен[ь|е|я|ю]-на-оби?;Камень-на-Оби;53.7913974;81.3545053
новоалтайск[а|у|е]?;Новоалтайск;53.4119759;83.9311069
рубцовск[а|у|е]?;Рубцовск;51.5012067;81.2078695
славгород[а|у|е]?;Славгород;52.999463;78.6459232
ярово[я|и|е|ю];Яровое;52.9252146;78.5729775
белогорск[а|у|е]?;Белогорск;50.9213415;128.4739471
благовещенск[а|у|е]?;Благовещенск;50.290659;127.527198
завитинск[а|у|е]?;Завитинск;50.1064111;129.4391813
зе[я|и|е|ю];Зея;53.7340088;127.265787
райчихинск[а|у|е]?;Райчихинск;49.7941615;129.4112492
свободн[ы|о][й|г|м][о|у]?;Свободный;51.3614103;128.1219729
сковородин[о|у|е];Сковородино;53.9871095;123.9437205
тынд[а|е|у];Тында;55.1546441;124.7468904
циолковск[и|о][й|г|м][о|у]?;Циолковский;51.762481;128.1219846
шимановск[а|у|е]?;Шимановск;52.0051886;127.7005458
архангельск[а|у|е]?;Архангельск;64.5394289;40.5169606
вельск[а|у|е]?;Вельск;61.066;42.1032789
каргопол[ь|и];Каргополь;61.5009724;38.9636966
коряжм[а|е|у];Коряжма;61.2885948;47.1003015
котлас[а|у|е]?;Котлас;61.2528972;46.633242
мезен[ь|и];Мезень;65.8398078;44.2532273
мирн[ы|о][й|г|м][о|у]?;Мирный;62.7645265;40.3360076
новодвинск[а|у|е]?;Новодвинск;64.4136851;40.8208143
няндом[а|е|у];Няндома;61.6654674;40.2062947
